ruta_id,nombre
GRPIAA3,X-EO01-I,4439529,http://www.openstreetmap.org/relation/4439529
GRPIAA3,X-EO05-I,4439613,http://www.openstreetmap.org/relation/4439613
GRPIAA3,X-EO07-I,4442976,http://www.openstreetmap.org/relation/4442976
GRPIAA3,X-EO17-I,4443104,http://www.openstreetmap.org/relation/4443104
GRPIAA,X-EO18-I,4443141,http://www.openstreetmap.org/relation/4443141
GRPIAA3,X-EO20-I,4443210,http://www.openstreetmap.org/relation/4443210
GRPIAA,X-EO21-I,4443293,http://www.openstreetmap.org/relation/4443293
GRPIAA3,X-EO24-I,4443365,http://www.openstreetmap.org/relation/4443365
GRPIAA3,X-EO25-I,4443463,http://www.openstreetmap.org/relation/4443463
GRPIAA,X-EO26-I,4446025,http://www.openstreetmap.org/relation/4446025
GRPIAA3,X-EO29-I,4446214,http://www.openstreetmap.org/relation/4446214
GRPIAA3,X-EO31-I,4446296,http://www.openstreetmap.org/relation/4446296
GRPIAA,X-EO35-I,4446364,http://www.openstreetmap.org/relation/4446364
GRPIAA3,X-EO39-I,4455258,http://www.openstreetmap.org/relation/4455258
GRPIAA,X-EO47-I,4455342,http://www.openstreetmap.org/relation/4455342
GRPIAA3,X-EO48-I,4455406,http://www.openstreetmap.org/relation/4455406
GRPIAA,X-EO49-I,4455529,http://www.openstreetmap.org/relation/4455529
GRPIAA3,X-EO50-I,4455849,http://www.openstreetmap.org/relation/4455849
GRPIAA3,X-EO54-I,4459515,http://www.openstreetmap.org/relation/4459515
GRPIAA,X-EO55-I,4459572,http://www.openstreetmap.org/relation/4459572
GRPIAA3,X-EO64-I,4459740,http://www.openstreetmap.org/relation/4459740
GRPIAA,X-EO65A-I,4459792,http://www.openstreetmap.org/relation/4459792
GRPIAA,X-EO65B-I,4459804,http://www.openstreetmap.org/relation/4459804
GRPIAA3,X-EO69-I,4459832,http://www.openstreetmap.org/relation/4459832
GRPIAA,X-EO71-I,4460622,http://www.openstreetmap.org/relation/4460622
GRPIAA,X-EO79-I,4460697,http://www.openstreetmap.org/relation/4460697
GRPIAA3,X-EO96A-I,4460728,http://www.openstreetmap.org/relation/4460728
GRPIAA,X-EO96B-I,4460768,http://www.openstreetmap.org/relation/4460768
GRPIAA,X-EO96C-I,4462180,http://www.openstreetmap.org/relation/4462180
GRPIAA3,X-EO100-I,4462202,http://www.openstreetmap.org/relation/4462202
GRPIAA3,X-EO101-I,4462258,http://www.openstreetmap.org/relation/4462258
GRPIAA,X-EO104-I,4462264,http://www.openstreetmap.org/relation/4462264
GRPIAA,X-EO105-I,4462275,http://www.openstreetmap.org/relation/4462275
GRPIAA,X-EO105A-I,4462293,http://www.openstreetmap.org/relation/4462293
GRPIAA,X-EO109-I,4462305,http://www.openstreetmap.org/relation/4462305
GRPIAA,X-EO110-I,4462358,http://www.openstreetmap.org/relation/4462358
GRPIAA,X-EO110A-I,4462372,http://www.openstreetmap.org/relation/4462372
GRPIAA,X-EO113-I,4464531,http://www.openstreetmap.org/relation/4464531
GRPIAA3,X-EO119-I,4464649,http://www.openstreetmap.org/relation/4464649
GRPIAA,X-EO120-I,4464670,http://www.openstreetmap.org/relation/4464670
GRPIAA,X-EO121-I,4464686,http://www.openstreetmap.org/relation/4464686
GRPIAA3,X-EO122-I,4464806,http://www.openstreetmap.org/relation/4464806
GRPIAA3,X-EO123-I,4464855,http://www.openstreetmap.org/relation/4464855
GRPIAA,X-EO126-I,4464913,http://www.openstreetmap.org/relation/4464913
GRPIAA3,X-ICR01-I,4466970,http://www.openstreetmap.org/relation/4466970
GRPIAA3,X-ICR02-I,4467006,http://www.openstreetmap.org/relation/4467006
GRPIAA3,X-ICR02B-I,4467064,http://www.openstreetmap.org/relation/4467064
GRPIAA,X-ICR05-I,4467102,http://www.openstreetmap.org/relation/4467102
GRPIAA3,X-ICR06-I,4467149,http://www.openstreetmap.org/relation/4467149
GRPIAA3,X-ICR10-I,4467172,http://www.openstreetmap.org/relation/4467172
GRPIAA3,X-ICR13-I,4467284,http://www.openstreetmap.org/relation/4467284
GRPIAA3,X-ICR14-I,4467454,http://www.openstreetmap.org/relation/4467454
GRPIAA3,X-ICR15-I,4467486,http://www.openstreetmap.org/relation/4467486
GRPIAA,X-IM01-I,4467510,http://www.openstreetmap.org/relation/4467510
GRPIAA3,X-IM02-I,4467530,http://www.openstreetmap.org/relation/4467530
GRPIAA,X-IM03-I,4470459,http://www.openstreetmap.org/relation/4470459
GRPIAA3,X-IM04-I,4470605,http://www.openstreetmap.org/relation/4470605
GRPIAA3,X-IM06-I,4470758,http://www.openstreetmap.org/relation/4470758
GRPIAA,X-IM08-I,4470877,http://www.openstreetmap.org/relation/4470877
GRPIAA3,X-IM09-I,4470960,http://www.openstreetmap.org/relation/4470960
GRPIAA3,X-IM10-I,4471022,http://www.openstreetmap.org/relation/4471022
GRPIAA3,X-IM11-I,4471025,http://www.openstreetmap.org/relation/4471025
