asignado_a,nombre_ruta,id,url
Fio,X-IO32_I,4558489,http://www.openstreetmap.org/relation/4558489
Fio,X-IO32B_I,4558599,http://www.openstreetmap.org/relation/4558599
Fio,X-IO33_I,4558930,http://www.openstreetmap.org/relation/4558930
Fio,X-IO34_I,4560291,http://www.openstreetmap.org/relation/4560291
Fio,X-IO35_I,4560452,http://www.openstreetmap.org/relation/4560452
Fio,X-IO33B_I,4560772,http://www.openstreetmap.org/relation/4560772
Fio,X-IO35B_I,4561118,http://www.openstreetmap.org/relation/4561118
Fio,X-IO36_I,4561682,http://www.openstreetmap.org/relation/4561682
Fio,X-IO37_I,4565462,http://www.openstreetmap.org/relation/4565462
Fio,X-IO37B_I,4565752,http://www.openstreetmap.org/relation/4565752
Fio,X-IO38_I,4573174,http://www.openstreetmap.org/relation/4573174
Fio,X-IO40_I,4573343,http://www.openstreetmap.org/relation/4573343
Fio,X-IO41_I,4573844,http://www.openstreetmap.org/relation/4573844
Fio,X-IO44B_I,4573953,http://www.openstreetmap.org/relation/4573953
Fio,X-IO44_I,4577021,http://www.openstreetmap.org/relation/4577021
Fio,X-IO45_I,4577222,http://www.openstreetmap.org/relation/4577222
Fio,X-IO47_I,4577398,http://www.openstreetmap.org/relation/4577398
Fio,X-IO49_I,4580670,http://www.openstreetmap.org/relation/4580670
Fio,X-IO50_I,4580910,http://www.openstreetmap.org/relation/4580910
Fio,X-IO51_I,4580988,http://www.openstreetmap.org/relation/4580988
Fio,X-IO52_I,4581515,http://www.openstreetmap.org/relation/4581515
Fio,X-IO53_I,4581671,http://www.openstreetmap.org/relation/4581671
Fio,X-IO55_I,4583567,http://www.openstreetmap.org/relation/4583567
Fio,X-IO57B_I,4583709,http://www.openstreetmap.org/relation/4583709
Fio,X-IO57_I,4584343,http://www.openstreetmap.org/relation/4584343
Fio,X-IO63_I,4584734,http://www.openstreetmap.org/relation/4584734
Fio,X-IO64_I,4586798,http://www.openstreetmap.org/relation/4586798
Fio,X-IO66_I,4596446,http://www.openstreetmap.org/relation/4596446
Fio,X-IO67_I,4596566,http://www.openstreetmap.org/relation/4596566
Fio,X-IO68_I,4596722,http://www.openstreetmap.org/relation/4596722
Fio,X-IO69_I,4597167,http://www.openstreetmap.org/relation/4597167
Fio,X-IO71_I,4597283,http://www.openstreetmap.org/relation/4597283
Fio,X-IO72_I,4597662,http://www.openstreetmap.org/relation/4597662
Fio,X-IO73_I,4598747,http://www.openstreetmap.org/relation/4598747
Fio,X-IO74_I,4598939,http://www.openstreetmap.org/relation/4598939
Fio,X-IO75_I,4599262,http://www.openstreetmap.org/relation/4599262
Fio,X-IO75B_I,4599922,http://www.openstreetmap.org/relation/4599922
Fio,X-IO76_I,4600767,http://www.openstreetmap.org/relation/4600767
Fio,X-IO77_I,4602238,http://www.openstreetmap.org/relation/4602238
