usuario,id_ruta,tipo_error,link
GRPIAA,4213873,1,www.openstreetmap.org/relation/4213873#map=19/-12.0515072/-77.1345553
GRPIAA,4213873,3,www.openstreetmap.org/relation/4213873#map=19/-12.0516837/-77.1345479
GRPIAA,4213873,1,www.openstreetmap.org/relation/4213873#map=19/-12.0631907/-77.142733
GRPIAA,4213873,1,www.openstreetmap.org/relation/4213873#map=19/-12.0434879/-77.0424438
GRPIAA,4213873,4,www.openstreetmap.org/relation/4213873#map=19/-12.0446769/-77.0561824
GRPIAA,4213873,1,www.openstreetmap.org/relation/4213873#map=19/-12.0631747/-77.1425476
GRPIAA,4213873,1,www.openstreetmap.org/relation/4213873#map=19/-12.063718/-77.1466998
GRPIAA3,4214218,3,www.openstreetmap.org/relation/4214218#map=19/-12.0011442/-77.1167581
GRPIAA3,4214218,3,www.openstreetmap.org/relation/4214218#map=19/-12.0009932/-77.11692
GRPIAA3,4214218,3,www.openstreetmap.org/relation/4214218#map=19/-12.0215526/-77.1065689
GRPIAA3,4214218,3,www.openstreetmap.org/relation/4214218#map=19/-12.0218708/-77.1065017
GRPIAA3,4214218,3,www.openstreetmap.org/relation/4214218#map=19/-12.0401132/-77.0992747
GRPIAA3,4214218,3,www.openstreetmap.org/relation/4214218#map=19/-12.0402138/-77.0992609
GRPIAA3,4214218,3,www.openstreetmap.org/relation/4214218#map=19/-11.99763/-77.1253029
GRPIAA3,4214218,4,www.openstreetmap.org/relation/4214218#map=19/-12.0446769/-77.0561824
GRPIAA3,4214218,1,www.openstreetmap.org/relation/4214218#map=19/-11.8595735/-77.1283049
GRPIAA3,4214218,1,www.openstreetmap.org/relation/4214218#map=19/-11.8518956/-77.1282927
GRPIAA3,4214218,3,www.openstreetmap.org/relation/4214218#map=19/-11.9965573/-77.1261718
GRPIAA3,4214218,3,www.openstreetmap.org/relation/4214218#map=19/-11.996677/-77.126185
GRPIAA3,4214218,3,www.openstreetmap.org/relation/4214218#map=19/-11.9975163/-77.1256255
GRPIAA3,4214218,1,www.openstreetmap.org/relation/4214218#map=19/-11.8595803/-77.1284244
GRPIAA3,4214218,1,www.openstreetmap.org/relation/4214218#map=19/-12.0466122/-77.0431494
GRPIAA3,4214218,3,www.openstreetmap.org/relation/4214218#map=19/-11.8786832/-77.1269439
GRPIAA3,4214218,3,www.openstreetmap.org/relation/4214218#map=19/-11.8789628/-77.126781
jdaniel14,4217348,4,www.openstreetmap.org/relation/4217348#map=19/-12.0546179/-76.9646065
jdaniel14,4217348,3,www.openstreetmap.org/relation/4217348#map=19/-12.0010892/-77.1061352
jdaniel14,4217348,1,www.openstreetmap.org/relation/4217348#map=19/-11.9965958/-77.1126127
