ID|NAME|TIPO|geom|idzona
4529|Los Topacios|1|SRID=4326;LINESTRING (-77.121398 -12.058523,-77.121391 -12.058533,-77.121361 -12.058615,-77.121277 -12.058977,-77.12127 -12.059004,-77.121254 -12.059086,-77.121246 -12.059113,-77.121246 -12.059141,-77.121238 -12.059158,-77.121238 -12.059186,-77.12123 -12.059213,-77.12123 -12.05924,-77.121223 -12.059268,-77.121223 -12.059293,-77.121215 -12.05932,-77.121215 -12.059348,-77.121215 -12.059375,-77.121209 -12.059402,-77.121209 -12.05943,-77.121209 -12.059457,-77.121209 -12.059484,-77.121201 -12.059512,-77.121201 -12.059537,-77.121201 -12.059564,-77.121201 -12.059592,-77.121201 -12.059619,-77.121193 -12.059646,-77.121193 -12.059674,-77.121193 -12.059701,-77.121193 -12.059729,-77.121193 -12.059756,-77.121193 -12.059781,-77.121193 -12.059828,-77.121201 -12.060045,-77.121201 -12.06007,-77.121201 -12.060098,-77.121201 -12.060125,-77.121209 -12.060152,-77.121209 -12.06018,-77.121209 -12.060207,-77.121215 -12.060234,-77.121215 -12.060262,-77.121215 -12.060287,-77.121223 -12.060314,-77.121254 -12.060551,-77.121307 -12.060848,-77.121322 -12.060902,-77.12133 -12.06093,-77.121346 -12.060975,-77.121369 -12.061072,-77.121582 -12.061641,-77.121598 -12.061668,-77.121605 -12.061686,-77.121627 -12.06173,-77.12165 -12.061775,-77.121666 -12.061803,-77.121674 -12.06183,-77.121689 -12.061848,-77.121697 -12.061875,-77.121711 -12.061902,-77.121727 -12.06192,-77.121734 -12.061947,-77.12175 -12.061975,-77.121766 -12.061992,-77.121773 -12.06202,-77.121787 -12.062047,-77.121803 -12.062064,-77.121818 -12.062092,-77.121834 -12.062117,-77.121842 -12.062137,-77.121857 -12.062162,-77.121871 -12.062182,-77.122094 -12.062496,-77.122109 -12.062514,-77.122123 -12.062541,-77.122139 -12.062559,-77.122162 -12.062586,-77.12252 -12.06299)|0
4530|Almirante Miguel Grau|5|SRID=4326;LINESTRING (-77.121398 -12.058523,-77.12705 -12.059671)|0
4535|Republica De Panama|2|SRID=4326;LINESTRING (-77.132372 -12.059496,-77.132703 -12.057967)|0
4541|Arequipa (Norte)|5|SRID=4326;LINESTRING (-77.136643 -12.057916,-77.137154 -12.058853)|0
4542|Ayacucho|5|SRID=4326;LINESTRING (-77.136643 -12.057916,-77.135533 -12.058785)|0
4551|2 De Mayo|2|SRID=4326;LINESTRING (-77.142953 -12.061009,-77.142545 -12.057322)|0
4556|Manco Capac|2|SRID=4326;LINESTRING (-77.148182 -12.059672,-77.146982 -12.059133,-77.145982 -12.058523,-77.145305 -12.05796,-77.144653 -12.057153)|0
4560|Mariscal Ramon Castilla (Prl)|5|SRID=4326;LINESTRING (-77.070289 -12.081992,-77.071662 -12.085627)|0
4561|La Marina|1|SRID=4326;LINESTRING (-77.070289 -12.081992,-77.073125 -12.080964)|0
4565|28 De Julio|5|SRID=4326;LINESTRING (-77.071662 -12.085627,-77.068605 -12.086768)|0
