usuario,ruta,nombre_ruta,tipo1,tipo2,tipo3,tipo4,tipo5,tipo6,tipo7,tipo8,tipo9,tipo10,tipo11,tipo12,tipo13,tipo14,tipo15,tipo16,tipo17,tipo18,tipo19,tipo20
Ale,4462275,X-EO105-I,6,0,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4462293,X-EO105A-I,6,0,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4462305,X-EO109-I,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4462358,X-EO110-I,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4462372,X-EO110A-I,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4464531,X-EO113-I,13,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4464649,X-EO119-I,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4464670,X-EO120-I,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4464686,X-EO121-I,7,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4464806,X-EO122-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4464855,X-EO123-I,7,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4464913,X-EO126-I,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4466970,X-ICR01-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4467006,X-ICR02-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4467064,X-ICR02B-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4467102,X-ICR05-I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4467149,X-ICR06-I,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4467172,X-ICR10-I,14,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4467284,X-ICR13-I,4,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4467454,X-ICR14-I,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4467486,X-ICR15-I,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4467510,X-IM01-I,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4467530,X-IM02-I,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4470459,X-IM03-I,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4470605,X-IM04-I,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4470758,X-IM06-I,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4470877,X-IM08-I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4470960,X-IM09-I,12,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4471022,X-IM10-I,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4471025,X-IM11-I,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4471042,X-IM12-I,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4471051,X-IM14-I,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4471063,X-IM15-I,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4471074,X-IM16-I,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4471082,X-IM18-I,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4471136,X-IM19-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4475362,X-IM20-I,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4475645,X-IM21-I,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4476395,X-IM22-I,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4476425,X-IM24-I,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4476477,X-IM25-I,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4476537,X-IM26-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4476549,X-IM29-I,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4479367,X-IM30-I,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4479736,X-IM31-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ale,4479831,X-IM32-I,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
