WKT;ID;LENGTH;DIR;LONGITUD;TIPO;MODE;NAME;AB_CARRIL;BA_CARRIL;AB_CAP;BA_CAP;AB_VEL;BA_VEL;AB_ALPHA;BA_ALPHA;AB_BETA;BA_BETA;AB_CAPAC;BA_CAPAC;AB_PRELOAD;BA_PRELOAD;AB_PRELOA1;BA_PRELOA1;AB_PRELOA2;BA_PRELOA2;AB_TMPPRV_;BA_TMPPRV_;AB_TMPPRVA;BA_TMPPRVA;AB_VELPRVA;BA_VELPRVA;AB_TMPPEAT;BA_TMPPEAT;AB_TMMETRO;BA_TMMETRO;AB_TMTREN;BA_TMTREN;AB_TMBUS;BA_TMBUS;MAXBUSSP;Y12;Y20;Y30
LINESTRING (-77.040396 -12.119027,-77.040359 -12.119155,-77.040302 -12.119242);5874;0.03;1;0.03;2;;Plaza Morales Barros;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;256.77;;86;;275.5;0;0.03;0.03;0.03;;29.99;;0.39;0.39;;;0.04;0.04;0.06;;25;1;1;1
LINESTRING (-77.039841 -12.11926,-77.039762 -12.119149,-77.03972 -12.119022);5875;0.03;1;0.03;2;;Plaza Morales Barros;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;277.85;;90.23;;288.59;0;0.04;0.04;0.04;;20.31;;0.45;0.45;;;0.05;0.05;0.07;;25;1;1;1
LINESTRING (-77.040302 -12.119242,-77.040199 -12.11931,-77.04008 -12.119351,-77.039956 -12.119323,-77.039841 -12.11926);5879;0.06;1;0.06;2;;Plaza Morales Barros;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;256.77;;86;;275.5;0;0.07;0.07;0.07;;29.99;;0.83;0.83;;;0.09;0.09;0.13;;25;1;1;1
LINESTRING (-77.040082 -12.118702,-77.040201 -12.118724,-77.040296 -12.1188);5884;0.03;1;0.03;2;;Plaza Morales Barros;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;123.95;;46.7;;126.07;0;0.04;0.04;0.04;;29.8;;0.4;0.4;;;0.05;0.05;0.06;;25;1;1;1
LINESTRING (-77.040296 -12.1188,-77.04037 -12.118902,-77.040396 -12.119027);5883;0.03;1;0.03;2;;Plaza Morales Barros;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;108.69;;39.72;;108.58;0;0.04;0.04;0.04;;29.92;;0.42;0.42;;;0.05;0.05;0.07;;25;1;1;1
LINESTRING (-77.03972 -12.119022,-77.039753 -12.1189,-77.039821 -12.118788);5672;0.03;1;0.03;2;;Plaza Morales Barros;2;2;960;960;45;45;0.8;0.8;3.68;3.68;1920;1920;183.4;;69.68;;185.27;0;0.04;0.04;0.04;;29.15;;0.43;0.43;;;0.05;0.05;0.07;;25;1;1;1
LINESTRING (-77.041172 -12.117896,-77.040063 -12.117897);5870;0.12;1;0.12;5;;2 De Mayo (Pedro Llullano);2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;101.79;;43.75;;100.82;0;0.29;0.29;0.29;;24.98;;1.81;1.81;;;0.21;0.21;0.36;;20;1;1;1
LINESTRING (-77.040058 -12.117096,-77.040063 -12.117897);5740;0.09;1;0.09;5;;Cesareo Chacaltana;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;;;;;0;0;0.21;0.21;0.21;;25;;1.33;1.33;;;0.15;0.15;0.27;;20;1;1;1
LINESTRING (-77.045757 -12.113202,-77.044477 -12.113194);5828;0.14;1;0.14;5;;8 De Octubre;2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;2.85;;1.92;;2.72;0;0.33;0.33;0.33;;22.39;;2.09;2.09;;;0.24;0.24;0.42;;20;1;1;1
LINESTRING (-77.039868 -12.114092,-77.040992 -12.11302);5663;0.17;0;0.17;2;;Angamos (Oeste);2;2;840;840;30;30;0.5;0.5;3.7;3.7;1680;1680;82.32;;72.12;;98.4;87.94;0.41;0.41;0.41;0.41;24.99;24.98;2.56;2.56;;;0.29;0.29;0.51;0.51;20;1;1;1
